Service,Port,Protocol,Description
unknown,45553,unknown,Unassigned
unknown,45554,unknown,Unassigned
unknown,45555,unknown,Unassigned
unknown,45556,unknown,Unassigned
unknown,45557,unknown,Unassigned
unknown,45558,unknown,Unassigned
unknown,45559,unknown,Unassigned
unknown,45560,unknown,Unassigned
unknown,45561,unknown,Unassigned
unknown,45562,unknown,Unassigned
unknown,45563,unknown,Unassigned
unknown,45564,unknown,Unassigned
unknown,45565,unknown,Unassigned
unknown,45566,unknown,Unassigned
unknown,45567,unknown,Unassigned
unknown,45568,unknown,Unassigned
unknown,45569,unknown,Unassigned
unknown,45570,unknown,Unassigned
unknown,45571,unknown,Unassigned
unknown,45572,unknown,Unassigned
unknown,45573,unknown,Unassigned
unknown,45574,unknown,Unassigned
unknown,45575,unknown,Unassigned
unknown,45576,unknown,Unassigned
unknown,45577,unknown,Unassigned
unknown,45578,unknown,Unassigned
unknown,45579,unknown,Unassigned
unknown,45580,unknown,Unassigned
unknown,45581,unknown,Unassigned
unknown,45582,unknown,Unassigned
unknown,45583,unknown,Unassigned
unknown,45584,unknown,Unassigned
unknown,45585,unknown,Unassigned
unknown,45586,unknown,Unassigned
unknown,45587,unknown,Unassigned
unknown,45588,unknown,Unassigned
unknown,45589,unknown,Unassigned
unknown,45590,unknown,Unassigned
unknown,45591,unknown,Unassigned
unknown,45592,unknown,Unassigned
unknown,45593,unknown,Unassigned
unknown,45594,unknown,Unassigned
unknown,45595,unknown,Unassigned
unknown,45596,unknown,Unassigned
unknown,45597,unknown,Unassigned
unknown,45598,unknown,Unassigned
unknown,45599,unknown,Unassigned
unknown,45600,unknown,Unassigned
unknown,45601,unknown,Unassigned
unknown,45602,unknown,Unassigned
unknown,45603,unknown,Unassigned
unknown,45604,unknown,Unassigned
unknown,45605,unknown,Unassigned
unknown,45606,unknown,Unassigned
unknown,45607,unknown,Unassigned
unknown,45608,unknown,Unassigned
unknown,45609,unknown,Unassigned
unknown,45610,unknown,Unassigned
unknown,45611,unknown,Unassigned
unknown,45612,unknown,Unassigned
unknown,45613,unknown,Unassigned
unknown,45614,unknown,Unassigned
unknown,45615,unknown,Unassigned
unknown,45616,unknown,Unassigned
unknown,45617,unknown,Unassigned
unknown,45618,unknown,Unassigned
unknown,45619,unknown,Unassigned
unknown,45620,unknown,Unassigned
unknown,45621,unknown,Unassigned
unknown,45622,unknown,Unassigned
unknown,45623,unknown,Unassigned
unknown,45624,unknown,Unassigned
unknown,45625,unknown,Unassigned
unknown,45626,unknown,Unassigned
unknown,45627,unknown,Unassigned
unknown,45628,unknown,Unassigned
unknown,45629,unknown,Unassigned
unknown,45630,unknown,Unassigned
